,part_number,description,quantity,price,negative_on_hand
106,80-08133-4,zero decal,0,42.99,-2
107,82414041ba,r.h. foot peg holder plate,0,250.99,-1
108,85-03463,lh signal lite,0,60.22,-1
109,90-02837,e clip 0.375,0,2.99,-1
110,90-02879,pin clip footpeg,0,2.99,-1
111,90-07277,hexagon socket thin head cap,0,6.99,-1
112,987702820,die cast model panigale v4 s,0,9.99,-1
113,987705916,dc sport red/black sweatshirt,0,149.99,-1
114,b07d3z97hq,metric white nylon,0,20.99,-1
115,b09npz3cf2,bulk generic wellnuts,0,24.0,-1
116,bm-01,tube 80/100-21 / 90/90-21 m15 bib,0,302.99,-1
117,imc-tee-1-3xl,"imc,tee,gry,3xl",0,25.99,-1
118,imc-tee-1-m,"imc,tee,gry,md",0,25.99,-2
119,imc-tee-2022,indian + island moto tee shirts,0,29.99,-2
120,mgvs18122-xxl,malvern glove,0,251.99,-1
121,mgvs20110-xl,triple glove,0,249.99,-1
122,mgvs20115-m,blk raven glove,0,94.99,-1
123,mgvs2201-001s,tplr p glve-s,0,124.99,-1
124,mtls22404-l,tiger 1200-l,0,84.99,-1
125,mtpc18407-m,malvern jacket-m,0,925.99,-1
126,mtss21018-s,boleigh tee,0,44.99,-1
127,mtss22403-xl,tiger 1200-xl,0,49.99,-1
128,p603,wheel rim lock 2.50,0,19.99,-1
129,sm-15500g,s100 wheel cleaner gel- 500ml,0,21.99,-1
130,sm-18400a,s100 detail & wax- 10oz/283g,0,21.99,-2
131,t2051750,chain guard,0,87.99,-1
132,t3601276,"o ring, id 23.7 x 2.9",0,3.99,-1
